courseCode, courseName, location, examDate
TDT4100,Object-Oriented Programming,Trondheim,16.05.2017
TDT4102,Procedural and Object-Oriented Programming,Trondheim,19.05.2017
TDT4105,Information Technology, Introduction,Trondheim,
TDT4110,Information Technology, Introduction,Trondheim,
TDT4112,Programming Lab for Computer Science,Trondheim,
TDT4113,Computer Science, Programming Project,Trondheim,
TDT4117,Information Retrieval,Trondheim,
TDT4120,Algorithms and Data Structures,Trondheim,
TDT4125,Algorithm Construction,Trondheim,29.05.2017
TDT4136,Introduction to Artificial Intelligence,Trondheim,
TDT4137,Cognitive Architectures,Trondheim,
TDT4140,Software Engineering,Trondheim,
TDT4145,Data Modelling, Databases and Database Management Systems,Trondheim,07.06.2017
TDT4150,Advanced Database Management Systems,Trondheim,09.06.2017
TDT4160,Computers and Digital Design,Trondheim,
TDT4165,Programming Languages,Trondheim,
TDT4171,Artificial Intelligence Methods,Trondheim,09.06.2017
TDT4173,Machine Learning and Case-Based Reasoning,Trondheim,20.05.2017
TDT4175,Information Systems,Trondheim,
TDT4180,Human-Computer Interaction,Trondheim,02.06.2017
TDT4186,Operating Systems,Trondheim,23.05.2017
TDT4195,Visual Computing Fundamentals,Trondheim,
TDT4200,Parallel Computing,Trondheim,
TDT4205,Compiler Construction,Trondheim,06.06.2017
TDT4210,Healthcare Informatics,Trondheim,
TDT4215,Web Intelligence,Trondheim,06.06.2017
TDT4225,Very Large, Distributed Data Volumes,Trondheim,
TDT4230,Graphics and Visualization,Trondheim,
TDT4237,Software Security,Trondheim,
TDT4240,Software Architecture,Trondheim,18.05.2017
TDT4242,Advanced Software Engineering,Trondheim,26.05.2017
TDT4245,Cooperation Technology and Social Media,Trondheim,
TDT4250,Advanced Software Design,Trondheim,
TDT4252,Enterprise Architecture for Enterprise Innovation,Trondheim,
TDT4255,Computer Design,Trondheim,
TDT4257,Digital Service Innovation,Trondheim,
TDT4258,Low-Level Programming,Trondheim,
TDT4260,Computer Architecture,Trondheim,02.06.2017
TDT4262,Prototyping Interactive Media,Trondheim,
TDT4265,Computer Vision,Trondheim,27.05.2017
TDT4280,Multi Agent Systems and Game Theory(Exam only, no teaching),Trondheim,26.05.2017
TDT4287,Algorithms for Bioinformatics,Trondheim,
TDT4290,Customer Driven Project,Trondheim,
TDT4295,Computer Design Project,Trondheim,
TDT4300,Data Warehousing and Data Mining,Trondheim,01.06.2017
TDT4305,Big Data Architecture,Trondheim,16.05.2017
TDT4501,Computer Science, Specialization Project,Trondheim,
TDT4506,Computer Science, Specialization Course,Trondheim,
TDT4850,Experts in Teamwork - ICT-Enabled Social Innovation for Social Good,Trondheim,
TDT4855,Experts in Teamwork - Large scale CO2 storage,Trondheim,
TDT4856,Experts in Teamwork - IT Management of Modern Trucks,Trondheim,
TDT4900,Computer Science, Master's Thesis,Trondheim,Test1,
